index,tool,file name,rows number,reason
0,splint,division_by_zero_1.c,7,Unrecognized identifier: add
1,splint,division_by_zero_1.c,12,"Assignment of div_t to int: f = div(d, a)"
2,splint,division_by_zero_1.c,17,Variable e used before definition
3,splint,division_by_zero_1.c,18,Variable f used before definition
4,splint,division_by_zero_1.c,18,"Assignment of div_t to int: a = div(a, f)"
5,splint,division_by_zero_1.c,20,Variable f used before definition
6,splint,division_by_zero_1.c,20,Variable c used before definition
7,splint,division_by_zero_1.c,21,"Assignment of div_t to int: b = div(e, f)"
8,splint,division_by_zero_1.c,46,Function div inconsistently declared to return int
0,cppcheck,division_by_zero_1.c,18,error: Uninitialized variable: f [uninitvar]
1,cppcheck,division_by_zero_1.c,20,error: Uninitialized variable: c [uninitvar]
2,cppcheck,division_by_zero_1.c,50,error: Uninitialized variable: n2 [uninitvar]
3,cppcheck,division_by_zero_1.c,18,"note: Calling function 'div', 2nd argument 'f' value is <Uninit>"
4,cppcheck,division_by_zero_1.c,50,note: Uninitialized variable: n2
